/* DATA DESCRIPTION:
Citation:	Tian, J et al. (2002): Stable oxygen isotope ratios of Cibicidoides wuellerstorfi from the Plio-Pleistocene section of Site ODP 184-1143 in the South China Sea, doi:10.1594/PANGAEA.132801,
	In Supplement to: Tian, Jun; Wang, Pinxian; Cheng, Xinrong; Li, Qianyu (2002): Astronomically tuned Plio- Pleistocene benthic d18O record from South-China Sea and Atlantic-Pacific comparison, Earth and Planetary Science Letters, 203(3-4), 1015-1029, doi:10.1016/S0012-821X(02)00923-8
Reference(s):	Wang, Pinxian; Tian, Jun; Cheng, Xinrong; Liu, Cho-Teng; Xu, Jian (2003): Carbon reservoir changes preceded major ice-sheet expansion at the mid-Brunhes event, Geology, 31(3), 239-242, doi:10.1130/0091-7613(2003)031<0239:CRCPMI>2.0.CO;2
	Tian, Jun; Wang, Pinxian; Cheng, Xinrong (2004): Development of the East Asian monsoon and Northern Hemisphere glaciation: Oxygen isotope records from the South China Sea, Quaternary Science Reviews, 23(18-1), 2007-2016, doi:10.1016/j.quascirev.2004.02.013
Project(s):	Ocean Drilling Program (ODP) (URI: http://odp.pangaea.de/)
Coverage:	WEST: 113.2851 * EAST: 113.2851 * SOUTH: 9.3619 * NORTH: 9.3619
	MINIMUM AGE: 0.000 ka BP * MAXIMUM AGE: 5020.610 ka BP
	DATE/TIME START: 1999-03-03T00:00:00 * DATE/TIME END: 1999-03-10T00:00:00
Event(s):	184-1143 * LATITUDE: 9.3619 * LONGITUDE: 113.2851 * ELEVATION: -2772.3 m * DATE/TIME: 1999-03-03T00:00:00 * DATE/TIME 2: 1999-03-10T00:00:00 * RECOVERY: 1101.80 m * PENETRATION: 1158.20 m * CAMPAIGN: Leg184 (URI: doi:10.2973/odp.proc.ir.184.2000) * BASIS: Joides Resolution (URI: http://odp.pangaea.de/resolutn.html) * DEVICE: Composite Core * COMMENT: 126 cores; 1158.2 m cored; 0 m drilled; 95.1% recovery
Comment:	All benthic foraminiferal data are based on Cibicidoides wuellerstorfi, or Uvigerina peregrina data corrected to C. wuellerstorfi values following the standard of Shackleton and Hall (1983, doi:10.2973/dsdp.proc.69.118.1983), 0.64‰ was subtracted from the delta18O values of U. peregrina
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Depth, composite [mcd] (Depth c) * PI: Tian, Jun (URL: mlab.tongji.edu.cn, eMail: tianjun@mail.tongji.edu.cn) * METHOD: Intercore correlation
	Cibicidoides wuellerstorfi, d18O [per mil PDB] (C. wuellerstorfi d18O) * PI: Tian, Jun (URL: mlab.tongji.edu.cn, eMail: tianjun@mail.tongji.edu.cn) * METHOD: Mass spectrometer Finnigan MAT 252
	Sedimentation rate [cm/ka] (Sed rate) * PI: Tian, Jun (URL: mlab.tongji.edu.cn, eMail: tianjun@mail.tongji.edu.cn) * METHOD: calculated, see reference(s)
Size:	5119 data points
*/
Age [ka BP]	Depth c [mcd]	C. wuellerstorfi d18O [per mil PDB]	Sed rate [cm/ka]
1710.130	82.38	3.18	6.49
1712.330	82.48	2.92	4.55
1715.190	82.58	2.95	3.50
1718.040	82.68	2.94	3.50
1720.900	82.78	3.29	3.50
1721.830	82.88	3.36	10.78
1722.750	82.98	3.26	10.78
1723.680	83.08	3.12	10.78
1724.610	83.18	3.26	10.79
1725.540	83.28	3.03	10.78
1728.350	83.38	3.17	3.55
1733.050	83.48	2.84	2.13
1737.750	83.58	2.92	2.13
1740.920	83.68	3.20	3.16
1742.560	83.78	3.01	6.10
1744.200	83.88	3.09	6.10
1745.840	83.98	3.02	6.10
1747.480	84.08	3.16	6.10
1749.110	84.18	3.41	6.10
1750.750	84.28	2.98	6.10
1752.690	84.38	2.86	5.16
1755.330	84.48	2.94	3.79
1757.960	84.58	3.10	3.79
1760.600	84.68	2.68	3.79
1763.500	84.78	2.73	3.45
1766.400	84.88	3.06	3.45
1769.300	84.98	3.23	3.45
1772.200	85.08	2.84	3.45
1775.100	85.18	3.10	3.45
1778.000	85.28	3.16	3.45
1780.900	85.38	3.19	3.45
1783.800	85.48	3.20	3.45
1785.950	85.58	3.36	4.66
1788.090	85.68	3.53	4.66
1790.240	85.78	3.57	4.66
1792.390	85.88	3.31	4.66
1794.540	85.98	3.14	4.66
1796.680	86.08	3.58	4.66
1798.570	86.18	3.26	5.29
1799.430	86.28	3.28	11.67
1800.290	86.38	3.07	11.67
1801.140	86.48	3.07	11.67
1802.000	86.58	2.90	11.67
1806.450	86.68	3.03	2.25
1810.900	86.78	2.73	2.25
1813.400	86.88	3.00	4.00
1815.900	86.98	2.94	4.00
1818.400	87.08	2.99	4.00
1820.900	87.18	2.97	4.00
1823.400	87.28	3.01	4.00
1825.900	87.38	2.86	4.00
1827.970	87.48	2.88	4.84
1830.030	87.58	2.76	4.84
1832.100	87.68	3.14	4.84
1835.000	87.78	3.22	3.45
1837.900	87.88	3.41	3.45
1840.800	87.98	3.33	3.45
1843.700	88.08	3.22	3.45
1846.600	88.18	3.00	3.45
1848.170	88.28	3.08	6.35
1849.750	88.38	3.14	6.35
1851.330	88.48	2.98	6.35
1852.900	88.58	3.10	6.35
1856.650	88.68	3.05	2.67
1860.400	88.78	3.21	2.67
1864.150	88.88	3.14	2.67
1867.900	88.98	3.06	2.67
1870.150	89.08	3.06	4.44
1872.400	89.18	3.13	4.44
1874.650	89.28	3.13	4.44
1876.900	89.38	2.89	4.44
1879.430	89.48	3.06	3.96
1881.950	89.58	3.10	3.96
1884.480	89.68	3.07	3.96
1887.000	89.78	2.93	3.96
1889.520	89.88	2.94	3.97
1890.530	89.92	2.87	3.97
1893.040	90.02	3.03	3.97
1895.560	90.12	2.93	3.97
1898.080	90.22	2.93	3.97
1900.600	90.32	3.11	3.97
1903.550	90.42	3.22	3.39
1906.500	90.52	3.13	3.39
1907.440	90.62	3.38	10.61
1908.390	90.72	3.55	10.61
1909.330	90.82	3.42	10.61
1910.270	90.92	3.59	10.61
1911.210	91.02	3.33	10.61
1912.160	91.12	3.52	10.61
1913.100	91.22	3.25	10.61
1914.060	91.32	3.31	10.45
1915.010	91.42	3.34	10.45
1915.970	91.52	3.12	10.45
1916.930	91.62	3.10	10.45
1917.890	91.72	3.12	10.45
1918.840	91.82	3.08	10.45
1919.800	91.92	2.88	10.45
1928.270	92.02	3.08	1.18
1936.730	92.12	2.96	1.18
1945.200	92.22	2.76	1.18
1946.610	92.32	2.86	7.09
1948.020	92.42	2.88	7.09
1949.430	92.52	2.69	7.09
1950.840	92.62	2.77	7.09
1952.260	92.72	2.80	7.09
1953.670	92.82	3.18	7.09
1955.080	92.92	3.32	7.09
1956.490	93.02	3.26	7.09
1957.900	93.12	3.23	7.09
1958.600	93.22	3.26	14.28
1959.300	93.32	3.20	14.29
1960.230	93.42	3.21	10.71
1961.170	93.52	3.19	10.71
1962.100	93.62	3.10	10.71
1969.500	93.72	2.88	1.35
1976.900	93.82	2.78	1.35
1981.120	93.92	2.67	2.37
1982.160	94.02	2.60	9.59
1983.210	94.12	2.70	9.59
1984.250	94.22	2.69	9.59
1985.290	94.32	2.81	9.59
1986.340	94.42	2.89	9.59
1987.380	94.52	2.78	9.59
1989.190	94.62	3.23	5.53
1991.760	94.72	3.42	3.89
1994.330	94.82	3.20	3.89
1996.900	94.92	3.10	3.89
1999.570	95.02	3.26	3.75
2002.230	95.12	3.08	3.75
2004.900	95.22	3.04	3.75
2006.900	95.32	3.59	5.00
2010.900	95.52	2.80	5.00
2012.900	95.62	2.81	5.00
2015.600	95.72	2.64	3.70
2018.300	95.82	2.51	3.70
2021.000	95.92	2.77	3.70
2026.490	96.02	2.87	1.82
2031.970	96.12	2.96	1.82
2037.460	96.22	3.12	1.82
2042.520	96.32	2.90	1.98
2047.160	96.42	3.03	2.16
2051.800	96.52	3.06	2.16
2052.570	96.62	3.36	13.04
2053.330	96.72	3.18	13.04
2054.100	96.82	2.50	13.04
2055.400	96.92	2.98	7.69
2056.700	97.02	3.01	7.69
2058.000	97.12	3.04	7.69
2059.300	97.22	2.83	7.69
2063.360	97.32	3.19	2.46
2067.420	97.42	3.32	2.46
2071.480	97.52	3.32	2.46
2075.540	97.62	3.50	2.46
2079.600	97.72	3.59	2.46
2080.510	97.82	3.50	10.94
2081.430	97.92	3.45	10.95
2082.340	98.02	3.62	10.94
2083.260	98.12	3.67	10.94
2084.900	98.30	3.32	10.94
2085.380	98.40	3.52	20.83
2085.860	98.50	3.48	20.83
2086.340	98.60	3.14	20.84
2086.820	98.70	3.38	20.83
2087.300	98.80	3.13	20.82
2087.780	98.90	3.17	20.83
2088.260	99.00	3.11	20.83
2090.760	99.10	2.92	4.00
2095.280	99.20	2.84	2.21
2099.800	99.30	3.05	2.21
2102.480	99.40	2.99	3.73
2105.160	99.50	3.09	3.73
2107.840	99.60	3.01	3.73
2110.520	99.70	2.99	3.73
2113.200	99.80	2.85	3.73
2115.930	99.90	2.98	3.67
2118.660	100.00	3.18	3.67
2121.390	100.10	2.86	3.67
2124.110	100.20	3.08	3.66
2126.840	100.30	3.21	3.66
2129.570	100.40	3.03	3.67
2132.300	100.50	2.76	3.67
2134.120	100.60	2.81	5.48
2135.950	100.70	2.89	5.48
2137.780	100.80	2.85	5.48
2139.600	100.90	2.89	5.48
2145.700	101.00	3.21	1.64
2151.800	101.10	3.20	1.64
2157.900	101.20	3.32	1.64
2160.640	101.30	3.74	3.65
2163.380	101.40	3.52	3.65
2166.120	101.50	3.75	3.65
2168.860	101.60	3.59	3.65
2171.600	101.70	3.61	3.65
2172.790	101.80	3.54	8.40
2173.980	101.90	3.52	8.40
2175.170	102.00	3.62	8.40
2176.360	102.10	3.39	8.40
2177.550	102.20	3.28	8.40
2178.740	102.30	3.10	8.40
2179.930	102.40	3.27	8.40
2181.120	102.50	2.99	8.40
2182.310	102.60	2.91	8.40
2183.500	102.70	2.70	8.40
2184.880	102.80	3.02	7.27
2186.250	102.90	2.86	7.27
2187.620	103.00	3.05	7.27
2189.000	103.10	2.94	7.27
2191.130	103.20	3.12	4.70
2193.260	103.30	3.35	4.70
2195.390	103.40	3.36	4.70
2197.510	103.50	3.35	4.70
2199.640	103.60	3.09	4.70
2201.770	103.70	3.25	4.70
2204.780	103.90	2.96	6.65
2205.660	104.00	2.85	11.39
2206.530	104.10	2.93	11.39
2207.410	104.20	2.95	11.39
2208.290	104.30	2.96	11.39
2209.170	104.40	2.69	11.39
2210.040	104.50	2.71	11.39
2210.920	104.60	2.83	11.39
2211.800	104.70	2.67	11.39
2218.260	104.80	2.89	1.55
2224.710	104.90	2.82	1.55
2236.330	105.08	3.46	1.55
2242.790	105.18	3.33	1.55
2249.240	105.28	3.13	1.55
2255.700	105.38	3.04	1.55
2256.260	105.48	3.12	17.78
2257.390	105.68	2.80	17.78
2257.950	105.78	2.67	17.78
2258.510	105.88	2.76	17.78
2261.890	106.48	3.44	17.78
2262.450	106.58	3.48	17.78
2263.010	106.68	3.59	17.78
2263.570	106.78	3.38	17.78
2264.140	106.88	3.32	17.78
2264.700	106.98	3.18	17.78
2273.800	107.08	2.92	1.10
2282.900	107.18	2.90	1.10
2292.000	107.28	2.86	1.10
2295.300	107.38	2.80	3.03
2298.600	107.48	2.73	3.03
2301.900	107.58	2.75	3.03
2305.200	107.68	2.89	3.03
2307.760	107.78	3.07	3.91
2310.320	107.88	3.10	3.91
2312.880	107.98	3.24	3.91
2315.440	108.08	3.18	3.91
2318.000	108.18	3.15	3.91
2320.480	108.28	3.16	4.03
2322.960	108.38	2.95	4.03
2325.940	108.48	3.32	3.35
2329.430	108.58	3.28	2.87
2332.920	108.68	3.02	2.87
2339.900	108.88	2.67	2.87
2341.120	108.98	2.51	8.16
2341.860	109.04	2.51	8.16
2343.570	109.18	2.52	8.16
2344.800	109.28	2.67	8.16
2349.120	109.38	2.79	2.32
2353.440	109.48	3.29	2.32
2357.760	109.58	3.30	2.32
2362.940	109.70	3.33	2.32
2365.520	109.78	2.94	3.10
2366.920	109.88	3.10	7.15
2368.310	109.98	3.05	7.16
2369.710	110.08	3.06	7.15
2371.110	110.18	3.10	7.16
2373.900	110.38	2.84	7.16
2375.300	110.48	2.67	7.15
2376.700	110.58	2.35	7.16
2381.230	110.68	2.66	2.21
2385.770	110.78	2.09	2.21
2390.300	110.88	2.36	2.21
2405.720	110.98	2.55	0.65
2410.110	111.08	3.02	2.28
2411.080	111.14	3.43	6.13
2416.290	111.24	3.27	1.92
2419.810	111.28	2.63	1.14
2425.080	111.34	3.23	1.14
2428.600	111.38	2.90	1.14
2429.360	111.44	3.12	7.94
2430.620	111.54	3.26	7.94
2431.880	111.64	3.23	7.94
2433.140	111.74	3.18	7.94
2434.900	111.88	2.58	7.94
2435.540	111.94	2.87	9.43
2435.960	111.98	2.79	9.43
2436.600	112.04	2.79	9.43
2438.080	112.18	3.10	9.43
2438.720	112.24	2.89	9.43
2439.140	112.28	3.27	9.43
2439.780	112.34	2.59	9.43
2440.200	112.38	3.42	9.43
2441.260	112.48	3.36	9.43
2441.900	112.54	3.69	9.43
2442.990	112.58	3.57	3.66
2444.640	112.64	3.20	3.66
2446.280	112.70	3.31	3.66
2448.460	112.78	3.34	3.66
2450.110	112.84	3.10	3.66
2454.220	112.98	3.39	3.40
2456.030	113.04	2.94	3.31
2457.240	113.08	3.18	3.31
2459.060	113.14	2.87	3.31
2460.270	113.18	2.98	3.31
2462.080	113.24	2.89	3.31
2463.290	113.28	3.15	3.31
2465.100	113.34	2.73	3.31
2468.130	113.44	2.67	3.30
2469.340	113.48	2.93	3.30
2471.160	113.54	2.88	3.30
2472.370	113.58	2.58	3.30
2474.190	113.64	3.05	3.30
2475.400	113.68	2.53	3.30
2477.200	113.84	3.69	8.87
2478.330	113.94	3.66	8.87
2478.560	113.96	3.15	8.88
2479.460	114.04	3.69	8.87
2479.680	114.06	2.95	8.87
2480.580	114.14	2.72	8.87
2481.710	114.24	3.10	8.87
2482.840	114.34	3.42	8.87
2483.970	114.44	3.51	8.87
2485.090	114.54	3.16	8.87
2486.220	114.64	3.57	8.87
2487.350	114.74	3.67	8.87
2488.470	114.84	3.58	8.87
2489.600	114.94	2.44	8.87
2491.440	115.04	2.82	5.44
2495.120	115.24	2.86	5.43
2496.960	115.34	2.87	5.43
2498.800	115.44	2.32	5.43
2502.480	115.64	2.75	5.43
2504.320	115.74	2.98	5.44
2506.160	115.84	3.05	5.43
2508.000	115.94	2.49	5.43
2514.200	116.04	3.13	1.61
2520.400	116.14	3.58	1.61
2521.550	116.24	3.54	8.70
2522.700	116.34	3.54	8.69
2523.850	116.44	3.56	8.69
2525.000	116.54	3.53	8.70
2526.150	116.64	3.54	8.69
2527.300	116.74	3.59	8.70
2527.940	116.84	3.44	15.51
2528.590	116.94	3.31	15.52
2529.230	117.04	3.45	15.52
2529.880	117.14	3.43	15.52
2530.520	117.24	3.38	15.52
2531.170	117.34	3.22	15.52
2531.810	117.44	3.02	15.51
2532.460	117.54	3.21	15.52
2533.100	117.64	2.90	15.52
2534.390	117.84	3.08	15.52
2535.680	118.04	2.54	15.52
2538.640	118.14	2.53	3.38
2543.920	118.24	2.39	1.89
2549.200	118.34	2.74	1.89
2550.840	118.44	2.89	6.11
2552.470	118.54	2.95	6.11
2554.110	118.64	2.82	6.11
2555.090	118.70	2.89	6.11
2556.730	118.80	2.91	6.11
2558.360	118.90	2.87	6.11
2560.000	119.00	2.51	6.11
2566.400	119.30	2.10	4.69
2569.900	119.40	2.60	2.86
2573.370	119.50	2.67	2.88
2576.840	119.60	2.61	2.88
2583.780	119.80	2.63	2.88
2587.180	119.90	2.12	2.94
2589.990	120.00	2.57	3.56
2592.800	120.10	2.93	3.56
2595.150	120.20	3.15	4.26
2597.500	120.30	3.17	4.26
2599.120	120.40	3.17	6.15
2600.750	120.50	3.38	6.15
2602.380	120.60	3.23	6.15
2604.000	120.70	3.19	6.15
2605.620	120.80	3.12	6.15
2607.250	120.90	2.99	6.15
2608.880	121.00	2.66	6.15
2610.500	121.10	2.76	6.15
2612.670	121.20	2.58	4.62
2614.830	121.30	2.67	4.61
2617.000	121.40	2.54	4.62
2623.000	121.50	2.50	1.67
2629.000	121.60	2.56	1.67
2635.000	121.70	2.64	1.67
2635.800	121.80	2.78	12.50
2636.600	121.90	2.86	12.50
2637.400	122.00	2.82	12.50
2638.200	122.10	2.92	12.50
2639.000	122.20	2.99	12.50
2640.860	122.30	3.08	5.38
2642.720	122.40	3.16	5.38
2644.580	122.50	3.14	5.38
2646.440	122.60	3.15	5.38
2648.300	122.70	2.78	5.38
2651.050	122.80	2.74	3.64
2653.790	122.90	2.61	3.64
2656.540	123.00	2.73	3.64
2659.280	123.10	2.35	3.64
2662.030	123.20	2.43	3.64
2667.520	123.40	2.62	3.64
2670.270	123.50	2.43	3.64
2673.020	123.60	2.56	3.64
2675.760	123.70	2.61	3.64
2684.000	124.00	2.77	3.64
2685.710	124.10	3.21	5.83
2687.430	124.20	3.14	5.83
2689.140	124.30	3.19	5.83
2690.860	124.40	3.13	5.83
2692.570	124.50	3.07	5.83
2694.290	124.60	3.07	5.83
2696.000	124.70	2.87	5.83
2698.260	124.80	2.93	4.42
2700.520	124.90	2.96	4.43
2702.780	125.00	2.88	4.42
2705.040	125.10	3.02	4.42
2707.300	125.20	2.87	4.42
2710.100	125.30	3.19	3.57
2712.900	125.40	3.13	3.57
2714.580	125.46	3.20	3.57
2715.700	125.50	3.26	3.57
2716.300	125.56	3.07	10.00
2716.700	125.60	3.26	10.00
2717.300	125.66	3.07	10.00
2717.700	125.70	3.23	10.00
2718.300	125.76	3.00	10.00
2718.700	125.80	3.22	10.00
2719.300	125.86	2.94	10.00
2719.700	125.90	3.18	10.00
2720.300	125.96	2.95	10.00
2720.700	126.00	3.26	10.00
2724.750	126.06	2.76	1.48
2727.450	126.10	3.05	1.48
2731.500	126.16	2.66	1.48
2734.200	126.20	3.01	1.48
2738.250	126.26	2.61	1.48
2740.950	126.30	2.86	1.48
2745.000	126.36	2.53	1.48
2754.900	126.46	2.52	1.01
2759.870	126.56	2.58	2.01
2764.830	126.66	2.57	2.01
2769.800	126.76	2.48	2.01
2771.400	126.86	2.59	6.25
2773.000	126.96	2.56	6.25
2774.600	127.06	2.64	6.25
2776.200	127.16	2.58	6.25
2777.800	127.26	2.85	6.25
2779.400	127.36	2.80	6.25
2781.000	127.46	2.71	6.25
2786.000	127.56	2.55	2.00
2791.000	127.66	2.60	2.00
2796.000	127.76	2.59	2.00
2798.000	127.86	2.43	5.00
2800.000	127.96	2.51	5.00
2802.000	128.06	2.52	5.00
2804.000	128.16	2.56	5.00
2806.000	128.26	2.42	5.00
2808.000	128.36	2.57	5.00
2813.600	129.06	2.64	12.50
2814.410	129.16	3.09	12.36
2815.230	129.26	3.04	12.22
2816.050	129.36	2.98	12.22
2816.860	129.46	2.88	12.22
2817.680	129.56	2.95	12.22
2818.500	129.66	2.81	12.22
2819.320	129.76	2.55	12.22
2820.140	129.86	2.73	12.22
2820.950	129.96	2.48	12.22
2821.770	130.06	2.58	12.22
2824.890	130.26	2.20	6.42
2828.670	130.36	2.55	2.65
2832.440	130.46	2.58	2.65
2836.220	130.56	2.75	2.65
2840.000	130.66	2.78	2.65
2842.840	130.76	2.87	3.52
2845.680	130.86	2.84	3.52
2848.520	130.96	2.88	3.52
2851.360	131.06	2.79	3.52
2854.200	131.16	2.29	3.52
2860.100	131.26	2.35	1.70
2866.000	131.36	2.35	1.69
2871.900	131.46	2.36	1.69
2878.670	131.56	2.64	1.48
2885.440	131.66	2.67	1.48
2892.210	131.76	2.65	1.48
2900.250	131.86	2.37	1.24
2912.070	131.96	2.81	0.85
2920.770	132.06	2.77	1.15
2925.720	132.16	2.92	2.02
2930.670	132.26	2.89	2.02
2935.620	132.36	2.66	2.02
2939.630	132.46	2.67	2.50
2942.690	132.56	2.61	3.27
2945.740	132.66	2.48	3.27
2948.800	132.76	2.49	3.27
2951.860	132.86	2.59	3.27
2954.910	132.96	2.66	3.27
2957.970	133.06	2.67	3.27
2961.030	133.16	2.74	3.27
2964.090	133.26	2.68	3.27
2967.140	133.36	2.85	3.27
2970.200	133.46	2.90	3.27
2977.330	133.56	2.88	1.40
2983.220	133.66	2.82	1.70
2987.850	133.76	2.82	2.16
2992.480	133.86	2.70	2.16
3000.800	133.96	2.88	1.20
3012.800	134.06	2.86	0.83
3024.800	134.16	2.82	0.83
3026.870	134.26	2.81	4.84
3029.180	134.36	2.71	4.32
3031.750	134.46	2.57	3.90
3034.320	134.56	2.53	3.90
3036.770	134.66	2.60	4.08
3039.110	134.76	2.57	4.28
3041.450	134.86	2.56	4.27
3043.790	134.96	2.73	4.28
3046.130	135.06	2.66	4.28
3048.470	135.16	2.68	4.28
3050.800	135.26	2.65	4.28
3053.140	135.36	2.59	4.27
3057.820	135.56	2.48	4.28
3060.160	135.66	2.52	4.27
3062.500	135.76	2.05	4.28
3070.400	135.86	2.46	1.27
3078.300	135.96	2.34	1.27
3079.910	136.06	2.40	6.22
3081.510	136.16	2.43	6.22
3083.120	136.26	2.58	6.22
3084.730	136.36	2.48	6.22
3086.330	136.46	2.55	6.22
3087.940	136.56	2.50	6.22
3089.550	136.66	2.64	6.22
3091.150	136.76	2.54	6.22
3092.760	136.86	2.64	6.22
3094.370	136.96	2.60	6.22
3095.970	137.06	2.69	6.23
3097.580	137.16	2.56	6.22
3099.190	137.26	2.20	6.22
3100.790	137.36	2.61	6.22
3102.400	137.46	2.56	6.22
3112.930	137.56	2.70	0.95
3123.470	137.66	2.67	0.95
3134.000	137.76	2.63	0.95
3135.410	137.86	2.69	7.11
3136.810	137.96	2.78	7.11
3139.060	138.12	2.64	7.11
3140.470	138.22	2.88	7.11
3141.870	138.32	2.88	7.11
3143.280	138.42	2.62	7.11
3144.680	138.52	2.48	7.11
3148.900	138.82	2.28	7.11
3153.600	138.92	2.00	2.13
3158.300	139.02	2.28	2.13
3163.000	139.12	2.31	2.13
3169.220	139.22	2.51	1.61
3175.440	139.32	2.54	1.61
3181.660	139.42	2.53	1.61
3187.880	139.52	2.44	1.61
3194.100	139.62	2.27	1.61
3202.950	139.72	2.54	1.13
3211.800	139.82	2.53	1.13
3213.610	139.92	2.56	5.52
3215.420	140.02	2.58	5.52
3217.230	140.12	2.42	5.52
3219.040	140.22	2.42	5.52
3220.860	140.32	2.47	5.52
3222.670	140.42	2.58	5.52
3224.480	140.52	2.55	5.52
3226.290	140.62	2.47	5.52
3228.100	140.72	2.32	5.52
3234.700	140.82	2.50	1.52
3241.300	140.92	2.47	1.52
3247.900	141.02	1.82	1.52
3250.010	141.12	2.42	4.75
3252.110	141.22	2.41	4.75
3254.220	141.32	2.40	4.75
3256.320	141.42	2.46	4.75
3260.540	141.62	2.59	4.75
3262.640	141.72	2.43	4.75
3264.750	141.82	2.46	4.75
3273.930	142.02	2.53	2.18
3290.180	142.32	2.50	1.85
3295.600	142.42	3.13	1.85
3299.330	142.52	2.21	2.68
3306.800	142.72	2.89	2.68
3310.530	142.82	2.73	2.68
3318.000	143.02	2.56	2.68
3319.670	143.12	2.52	6.00
3323.000	143.32	2.53	6.00
3330.370	143.64	2.94	4.34
3332.670	143.74	2.90	4.34
3337.280	143.94	3.17	4.34
3339.580	144.04	3.00	4.34
3341.880	144.14	3.09	4.34
3344.190	144.24	2.97	4.34
3346.490	144.34	2.96	4.34
3348.790	144.44	2.79	4.34
3351.090	144.54	2.96	4.34
3353.400	144.64	2.87	4.34
3355.700	144.74	2.78	4.34
3363.260	144.94	2.30	2.65
3367.040	145.04	2.43	2.65
3374.600	145.24	2.44	2.65
3377.560	145.44	2.57	6.76
3379.040	145.54	2.55	6.76
3380.520	145.64	2.73	6.76
3381.990	145.74	2.51	6.76
3383.470	145.84	2.54	6.76
3384.950	145.94	2.24	6.76
3386.430	146.04	2.62	6.76
3387.910	146.14	2.69	6.76
3389.390	146.24	2.42	6.76
3392.640	146.46	2.47	6.76
3394.120	146.56	2.41	6.76
3395.600	146.66	2.31	6.76
3402.730	146.76	2.40	1.40
3409.870	146.86	2.29	1.40
3417.000	146.96	2.25	1.40
3418.880	147.06	2.45	5.33
3420.760	147.16	2.71	5.33
3422.630	147.26	2.50	5.33
3424.510	147.36	2.68	5.33
3426.390	147.46	2.72	5.33
3428.270	147.56	2.74	5.33
3430.140	147.66	2.61	5.33
3432.020	147.76	2.53	5.33
3433.900	147.86	2.36	5.33
3443.450	147.96	2.43	1.05
3453.000	148.06	2.19	1.05
3457.350	148.16	2.40	2.30
3461.690	148.26	2.53	2.30
3466.040	148.36	2.35	2.30
3470.380	148.46	2.49	2.30
3474.730	148.56	2.26	2.30
3480.980	148.66	2.25	1.60
3489.120	148.76	2.14	1.23
3494.200	148.86	2.40	1.97
3496.200	148.96	2.31	5.00
3498.200	149.06	2.46	5.00
3500.200	149.16	2.43	5.00
3502.600	149.28	2.28	5.00
3506.600	149.48	2.27	5.00
3508.600	149.58	2.25	5.00
3510.600	149.68	2.29	5.00
3512.600	149.78	2.31	5.00
3518.850	149.88	2.37	1.60
3525.100	149.98	2.23	1.60
3531.350	150.08	2.15	1.60
3537.600	150.18	2.29	1.60
3541.650	150.28	2.65	2.47
3545.700	150.38	2.56	2.47
3549.750	150.48	2.45	2.47
3553.800	150.58	2.50	2.47
3557.850	150.68	2.30	2.47
3561.900	150.78	2.25	2.47
3569.100	150.98	2.25	2.78
3572.700	151.08	2.13	2.78
3576.300	151.18	2.26	2.78
3579.900	151.28	2.34	2.78
3582.690	151.38	2.35	3.59
3585.470	151.48	2.34	3.59
3588.260	151.58	2.39	3.59
3591.050	151.68	2.22	3.59
3593.840	151.78	2.47	3.59
3596.620	151.88	2.33	3.59
3599.410	151.98	2.22	3.59
3602.200	152.08	2.23	3.59
3604.960	152.18	2.12	3.62
3607.720	152.28	1.91	3.62
3610.480	152.38	2.00	3.62
3613.240	152.48	2.09	3.62
3616.000	152.58	2.16	3.62
3619.250	152.68	2.27	3.08
3622.500	152.78	2.51	3.08
3625.750	152.88	2.37	3.08
3629.000	152.98	2.17	3.08
3632.250	153.08	2.60	3.08
3635.500	153.18	2.34	3.08
3638.750	153.28	2.18	3.08
3642.000	153.38	2.21	3.08
3644.700	153.48	2.16	3.70
3647.400	153.58	2.18	3.70
3650.100	153.68	1.95	3.70
3652.800	153.78	2.18	3.70
3659.950	153.98	2.26	2.80
3664.400	154.08	2.49	2.25
3668.850	154.18	2.50	2.25
3673.300	154.28	2.37	2.25
3677.750	154.38	2.36	2.25
3682.200	154.48	2.13	2.25
3686.330	154.58	2.20	2.42
3690.470	154.68	2.19	2.42
3694.600	154.78	2.26	2.42
3697.760	154.88	2.41	3.16
3700.930	154.98	2.30	3.16
3704.090	155.08	2.55	3.16
3707.250	155.18	2.40	3.16
3710.410	155.28	2.63	3.16
3713.570	155.38	2.64	3.16
3716.740	155.48	2.60	3.16
3719.900	155.58	2.41	3.16
3722.910	155.68	2.32	3.32
3725.930	155.78	2.21	3.32
3728.940	155.88	2.34	3.32
3731.960	155.98	2.35	3.32
3734.970	156.08	2.47	3.32
3737.990	156.18	2.08	3.32
3741.000	156.28	2.48	3.32
3745.480	156.38	2.61	2.23
3749.970	156.48	2.58	2.23
3754.450	156.58	2.48	2.23
3758.930	156.68	2.91	2.23
3763.420	156.78	2.19	2.23
3767.900	156.88	1.98	2.23
3774.600	156.98	2.22	1.49
3781.300	157.08	2.40	1.49
3788.000	157.18	2.80	1.49
3794.700	157.28	2.14	1.49
3796.010	157.42	2.31	10.67
3796.950	157.52	2.40	10.67
3797.890	157.62	2.40	10.67
3798.820	157.72	2.62	10.67
3799.760	157.82	2.70	10.67
3800.700	157.92	2.44	10.67
3801.640	158.02	2.24	10.67
3802.570	158.12	2.22	10.67
3803.510	158.22	2.21	10.67
3805.390	158.42	2.84	10.67
