Scientific Results, Volume 177
D. Hodell et al., Ms 177SR-120
Chapter 9, Table T4.  d18O and d13C of benthic and planktonic foraminifers and CaCO3 at Site 1090 and piston core TTN057-6.  																


Site/Hole	Core	Section	Interval top (cm)	Interval bottom (cm)	Depth (mcd)	Age (ka)	d18O C. wuellerstorfi (permil)	d13C C. wuellerstorfi (permil)	d18O C. kullenbergi (permil)	d13C C. kullenbergi (permil)	d18O G. bulloides (permil)	d13C G. bulloides (permil)	d18O N. pachyderma (permil)	d13C N. pachyderma (permil)	CaCO3	 (wt%)	Lab
1090B	3	2	56	58	17.51	590.80	3.80	-1.22			1.89	-0.15			78.8	UF
1090B	3	2	61	63	17.56	592.91	3.68	-0.75			1.91	0.05			79.0	UF
1090B	3	2	66	68	17.61	595.02					2.33	0.18			74.1	UF
1090B	3	2	71	73	17.66	597.12	3.53	-0.69			2.14	-0.28			72.5	UF
1090B	3	2	76	78	17.71	599.23	3.62	-1.12			2.28	0.14			70.2	UF
1090B	3	2	81	83	17.76	601.34	3.32	-0.39			2.06	0.15			78.0	UF
1090B	3	2	86	88	17.81	603.44					2.02	0.01			78.9	UF
1090B	3	2	91	93	17.86	605.55	3.35	-0.35			2.10	-0.15			75.4	UF
1090B	3	2	96	98	17.91	607.65	3.37	-0.52			2.24	-0.14			74.8	UF
1090B	3	2	101	103	17.96	609.76	3.37	-0.22			2.14	0.00			62.9	UF
1090B	3	2	106	108	18.01	611.87	3.30	-1.20			2.19	0.30			72.7	UF
1090B	3	2	112	114	18.07	614.39	3.11	-0.12			1.98	0.06			83.1	UF
1090B	3	2	116	118	18.11	616.08	3.34	-0.36			2.03	0.22			82.4	UF
1090B	3	2	121	123	18.16	617.17					1.86	0.23			84.7	UF
1090B	3	2	126	128	18.21	618.27	4.07	-0.38			1.91	-0.37			86.8	UF
1090B	3	2	131	133	18.26	619.36	3.62	-0.15			1.96	-0.30			84.3	UF
1090B	3	2	136	138	18.31	620.45	3.48	-0.11			2.17	-0.93			81.8	UF
1090B	3	2	141	143	18.36	621.55					2.26	-0.68			80.7	UF
1090B	3	2	146	148	18.41	622.64	3.95	-0.29			2.30	-0.49			76.5	UF
1090B	3	3	1	3	18.46	623.73	4.25	-0.35			2.30	-0.37			77.8	UF
1090B	3	3	6	8	18.51	624.83	4.35	-0.23			3.31	-0.54			79.6	UF
1090B	3	3	11	13	18.56	625.92	4.25	-0.78			3.06	-0.39			78.0	UF
1090B	3	3	16	18	18.61	627.01	4.43	-0.70			2.84	-0.75			77.1	UF
1090B	3	3	21	23	18.66	628.11	4.49	-1.20			2.78	-0.48			77.6	UF
1090B	3	3	26	28	18.71	629.20	4.43	-0.84			3.18	-0.94			76.5	UF
1090B	3	3	31	33	18.76	630.06					2.93	-1.01			79.3	UF
1090B	3	3	36	38	18.81	630.93	4.49	-1.15			3.30	-0.71			78.3	UF
1090B	3	3	41	43	18.86	631.79	4.47	-1.05			3.16	-0.94			77.0	UF
1090B	3	3	46	48	18.91	632.66	4.26	-1.11			3.35	-0.77			77.4	UF
1090B	3	3	51	53	18.96	633.52	4.43	-1.03			2.97	-0.66			80.3	UF
1090B	3	3	56	58	19.01	634.39	4.40	-1.02			2.98	-0.59			73.7	UF
1090B	3	3	61	63	19.06	635.25	4.29	-0.30			3.28	-0.85			79.3	UF
1090B	3	3	66	68	19.11	636.12	4.35	-0.27			3.24	-0.78			78.3	UF
1090B	3	3	71	73	19.16	636.98	4.23	-0.80			3.25	-0.93			79.1	UF
1090B	3	3	76	78	19.21	637.85	4.29	-0.70			3.30	-0.84			80.5	UF
1090B	3	3	81	83	19.26	638.71	4.28	-0.95			2.98	-0.78			79.1	UF
1090B	3	3	86	88	19.31	639.57	4.17	-0.96			2.72	-0.45			81.7	UF
1090B	3	3	91	93	19.36	640.44	4.32	-0.84			3.14	-0.83			81.5	UF
1090B	3	3	96	98	19.41	641.30					2.79	-0.32			80.3	UF
1090B	3	3	101	103	19.46	642.17	4.28	-1.04			3.28	-0.63			78.1	UF
1090B	3	3	106	108	19.51	643.03	4.28	-1.01			3.16	-0.51			74.6	UF
1090B	3	3	111	113	19.56	643.90	4.31	-1.13			3.09	-0.80			69.7	UF
1090B	3	3	116	118	19.61	644.76	4.30	-1.17			2.38	-0.49			66.6	UF
1090B	3	3	121	123	19.66	645.63	4.30	-1.26			2.70	-0.30			67.4	UF
1090B	3	3	126	128	19.71	646.49	4.29	-1.01			2.39	-0.49			64.9	UF
1090B	3	3	131	133	19.76	647.35	4.27	-0.75			1.93	0.09			66.6	UF
1090B	3	3	136	138	19.81	648.22	4.24	-1.15			2.07	-0.34			63.0	UF
1090B	3	3	141	143	19.86	649.08	4.24	-1.50			2.06	-0.30			63.6	UF
1090B	3	3	146	148	19.91	649.95	4.08	-1.48			2.10	-0.21			65.6	UF
1090B	3	4	1	3	19.96	650.81	4.09	-0.93			2.50	-0.72			66.6	UF
1090B	3	4	6	8	20.01	651.68	4.11	-1.19			2.56	-0.46			70.3	UF
1090B	3	4	11	13	20.06	652.54	4.15	-1.40			2.01	-0.07			69.8	UF
1090B	3	4	16	18	20.11	653.41	4.17	-1.19			2.22	-0.14			66.9	UF
1090B	3	4	21	23	20.16	654.27	4.17	-1.31			2.63	-0.02			61.5	UF
1090B	3	4	26	28	20.21	655.14	4.12	-0.77			2.94	-1.24			64.5	UF
1090B	3	4	31	33	20.26	656.00	4.08	-0.99			2.57	-0.61			65.7	UF
1090B	3	4	36	38	20.31	656.86	4.01	-0.97			2.97	-0.27			67.9	UF
1090B	3	4	41	43	20.36	657.73	3.76	-0.62			2.71	-1.03			68.8	UF
1090B	3	4	46	48	20.41	658.59	4.21	-1.14			2.49	-1.34			70.3	UF
1090B	3	4	51	53	20.46	659.46	3.79	-0.78			2.78	-1.11			69.5	UF
1090B	3	4	56	58	20.51	660.32	3.96	-1.09			2.71	-1.35			70.1	UF
1090B	3	4	61	63	20.56	661.19	4.01	-1.03			2.68	-0.68			70.2	UF
1090B	3	4	66	68	20.61	662.05	3.97	-0.96			2.97	-0.56			68.4	UF
1090B	3	4	71	73	20.66	662.92	3.99	-1.20			2.76	-1.35			68.7	UF
1090B	3	4	76	78	20.71	663.78	3.88	-1.40			2.23	-0.82			67.1	UF
1090B	3	4	81	83	20.76	664.65	4.09	-1.65			2.31	-0.09			69.7	UF
1090B	3	4	86	88	20.81	665.51	3.99	-1.52			2.38	-0.36			66.1	UF
1090B	3	4	91	93	20.86	666.37	3.92	-1.27			2.26	-0.02			66.4	UF
1090B	3	4	96	98	20.91	667.24	3.76	-1.08			2.46	-0.05			65.2	UF
1090B	3	4	101	103	20.96	668.10	3.88	-1.06			2.24	-0.55			63.5	UF
1090B	3	4	106	108	21.01	668.97	3.79	-1.12			2.06	-0.38			63.8	UF
1090B	3	4	111	113	21.06	669.83	3.97	-1.32			1.97	-0.08				UF
1090B	3	4	116	118	21.11	670.70	3.85	-1.06			2.08	-0.42			66.1	UF
1090B	3	4	121	123	21.16	671.56	3.98	-1.22			2.41	-0.02			68.5	UF
1090B	3	4	126	128	21.21	672.43	3.76	-1.16			2.17	-0.16			61.3	UF
1090B	3	4	131	133	21.26	673.29	3.70	-1.20			2.76	-0.61			58.2	UF
1090B	3	4	136	138	21.31	674.15	3.63	-1.10			2.36	0.20			52.7	UF
1090B	3	4	141	143	21.36	675.02	3.72	-1.02			2.43	-0.43			58.8	UF
1090B	3	4	146	148	21.41	675.88	3.60	-0.91			2.43	-0.42			65.2	UF
1090B	3	5	1	3	21.46	676.75	3.74	-0.76			2.14	-0.45			67.8	UF
1090B	3	5	6	8	21.51	677.61	3.62	-0.94			2.13	-0.49			70.6	UF
1090B	3	5	11	13	21.56	678.48	3.70	-0.67			2.22	-0.72			75.7	UF
1090B	3	5	16	18	21.61	679.34	4.13	-1.20			2.15	-0.35			74.6	UF
1090B	3	5	21	23	21.66	680.21	3.79	-0.72			2.25	-0.73			69.1	UF
1090B	3	5	26	28	21.71	681.07					2.09	-0.61			70.5	UF
1090B	3	5	31	33	21.76	681.94	4.07	-1.13			2.13	-0.54			72.3	UF
1090B	3	5	36	38	21.81	682.80	3.24	-0.15			1.87	-0.46			76.6	UF
1090B	3	5	41	43	21.86	684.23	3.26	0.15			2.03	0.04			76.9	UF
1090B	3	5	46	48	21.91	685.66	3.04	0.26			1.89	0.04			82.0	UF
1090B	3	5	51	53	21.96	687.09	3.19	0.00			1.86	-0.16			82.2	UF
1090B	3	5	56	58	22.01	688.52	3.05	0.21			1.84	-0.06			82.1	UF
1090B	3	5	61	63	22.06	689.95					1.92	-0.02			82.4	UF
1090B	3	5	66	68	22.11	691.38	3.12	-0.08			1.93	-0.09			87.0	UF
1090B	3	5	71	73	22.16	692.82	2.99	0.10			2.15	-0.08			84.8	UF
																
1090D	3	2	74	76	22.21	694.25					2.01	-0.09			87.6	UF
1090D	3	2	79	81	22.26	695.68					1.94	-0.12			88.7	UF
1090D	3	2	84	86	22.31	697.11					2.00	-0.28			87.3	UF
1090D	3	2	89	91	22.36	698.54	3.46	-0.13			2.03	-0.47			87.5	UF
1090D	3	2	94	96	22.41	699.97	3.38	-0.45			1.92	-0.43			87.6	UF
1090D	3	2	99	101	22.46	701.40	3.41	-0.44			2.00	-0.51			87.3	UF
1090D	3	2	104	106	22.51	702.83	3.44	-0.14			2.31	-0.56			83.5	UF
1090D	3	2	109	111	22.56	707.42	3.70	-1.08			2.43	-0.47			73.5	UF
1090D	3	2	114	116	22.61	712.02	3.80	-0.75			2.53	-0.45			71.8	UF
1090D	3	2	119	121	22.66	716.61	4.01	-0.96			2.77	-0.41			67.7	UF
1090D	3	2	124	126	22.71	721.21					2.79	-0.61			67.0	UF
1090D	3	2	129	131	22.76	722.58	3.76	-0.74			2.48	-0.59			62.8	UF
1090D	3	2	134	136	22.81	723.95					2.10	-0.62			54.4	UF
1090D	3	2	139	141	22.86	725.32	3.70	-1.18			2.47	-0.58			57.4	UF
1090D	3	2	144	146	22.91	726.69	3.85	-0.93			2.12	-0.48			61.4	UF
1090D	3	3	0	2	22.97	728.34	3.78	-0.80			2.26	-0.73			60.6	UF
1090D	3	3	4	6	23.01	729.44	3.69	-0.36			2.27	-0.42			67.9	UF
1090D	3	3	9	11	23.06	730.81					2.34	-0.45			74.3	UF
1090D	3	3	14	16	23.11	732.18	3.79	-1.36			2.38	-0.43			75.8	UF
1090D	3	3	19	21	23.16	733.55	4.01	-0.74			2.31	-0.51			82.0	UF
1090D	3	3	24	26	23.21	734.92					2.48	-0.60			74.7	UF
1090D	3	3	29	31	23.26	736.29	3.86	-1.21			2.54	-0.69			72.1	UF
1090D	3	3	34	36	23.31	737.66					2.55	-0.52			68.5	UF
1090D	3	3	39	41	23.36	739.03	3.87	-1.37			2.46	-0.68			61.8	UF
1090D	3	3	44	46	23.41	740.40	3.89	-1.12			2.46	-0.58			50.3	UF
1090D	3	3	49	51	23.46	741.77	3.85	-1.23			2.36	-0.61			43.1	UF
1090D	3	3	54	56	23.51	743.14	3.85	-1.12			2.46	-0.57			40.6	UF
1090D	3	3	59	61	23.56	744.52	3.94	-1.06			2.75	-0.53			45.5	UF
1090D	3	3	64	66	23.61	745.89	3.85	-1.06			2.57	-0.43			53.5	UF
1090D	3	3	69	71	23.66	747.26	3.77	-1.33			2.67	-0.42			56.2	UF
1090D	3	3	74	76	23.71	748.63	3.73	-1.16			2.73	-0.44			58.7	UF
1090D	3	3	79	81	23.76	750.00	3.71	-1.03			2.40	-0.35			62.7	UF
1090D	3	3	84	86	23.81	751.37	3.67	-0.90			2.35	-0.79			60.9	UF
1090D	3	3	89	91	23.86	752.74	3.54	-0.61			2.41	-0.42			59.5	UF
1090D	3	3	94	96	23.91	754.11	3.53	-0.99			2.43	-0.54			63.7	UF
1090D	3	3	99	101	23.96	755.48	3.56	-0.62			2.06	-0.70			62.1	UF
1090D	3	3	104	106	24.01	756.85	3.35	-0.40			2.26	-0.61			70.4	UF
1090D	3	3	109	111	24.06	758.22	3.13	-0.06			2.03	-0.54			70.6	UF
1090D	3	3	114	116	24.11	759.59	3.29	-0.18			2.25	-0.35			76.5	UF
1090D	3	3	119	121	24.16	760.97	3.47	-0.06			2.08	-0.25			74.4	UF
1090D	3	3	124	126	24.21	762.34					2.62	-0.30			72.6	UF
1090D	3	3	129	131	24.26	763.71	3.82	-1.34			2.08	-0.19			67.8	UF
1090D	3	3	134	136	24.31	765.08	3.42	-0.13			2.19	-0.47			66.8	UF
1090D	3	3	139	141	24.36	766.45	3.42	0.13			1.82	-0.59			73.0	UF
1090D	3	3	144	146	24.41	767.82	3.60	-0.04			2.18	-0.28			73.7	UF
1090D	3	4	0	2	24.47	769.47	3.91	0.46			1.98	-0.04			81.9	UF
1090D	3	4	4	6	24.51	770.56	3.31	0.31			1.77	0.04			78.5	UF
1090D	3	4	9	11	24.56	771.93	3.07	-0.08			1.86	0.13			83.3	UF
1090D	3	4	14	16	24.61	773.30	3.28	0.11			1.98	0.26			86.3	UF
1090D	3	4	19	21	24.66	774.67	3.05	0.23			1.80	0.13			90.3	UF
1090D	3	4	24	26	24.71	776.05	3.05	-0.16			1.88	0.16			86.9	UF
1090D	3	4	29	31	24.76	777.42	2.93	-0.10			1.80	0.08			85.0	UF
1090D	3	4	34	36	24.81	778.79	2.83	0.18			1.82	0.00			88.4	UF
1090D	3	4	39	41	24.86	780.16	2.91	-0.14			1.96	-0.16			87.7	UF
1090D	3	4	44	46	24.91	781.53	2.90	0.04			1.82	-0.24			85.2	UF
1090D	3	4	49	51	24.96	782.90	3.10	-0.53			1.91	-0.35			88.1	UF
1090D	3	4	54	56	25.01	783.59	2.98	-0.46			1.72	-0.38			88.1	UF
1090D	3	4	59	61	25.06	784.29	2.99	-0.12			1.95	-0.33			82.8	UF
1090D	3	4	64	66	25.11	784.98	2.86	0.00			2.12	-0.19			82.9	UF
1090D	3	4	69	71	25.16	785.67	3.32	-0.18			2.38	-0.36			84.3	UF
1090D	3	4	74	76	25.21	786.36	2.99	-0.12			2.28	-0.47			81.7	UF
1090D	3	4	79	81	25.26	787.06	3.27	-0.39			2.48	-0.42			82.1	UF
1090D	3	4	84	86	25.31	787.75					2.57	-0.75			68.6	UF
1090D	3	4	89	91	25.36	788.44	3.75	-1.05			2.56	-0.81			77.0	UF
1090D	3	4	94	96	25.41	789.13	3.85	-0.77			2.46	-0.57			74.7	UF
1090D	3	4	99	101	25.46	789.83	3.86	-0.68			2.50	-0.57			77.7	UF
1090D	3	4	104	106	25.51	790.52					2.38	-0.92			70.5	UF
1090D	3	4	109	111	25.56	791.21	3.94	-0.73			2.62	-0.84			69.4	UF
1090D	3	4	114	116	25.61	791.90	3.89	-1.13			2.74	-0.64			73.4	UF
1090D	3	4	119	121	25.66	792.60	4.06	-1.30			2.60	-0.94			71.2	UF
1090D	3	4	124	126	25.71	793.29	4.00	-1.09			2.76	-0.99			66.3	UF
1090D	3	4	129	131	25.76	793.98	4.01	-1.09			3.09	-0.59			67.3	UF
1090D	3	4	134	136	25.81	794.68	4.07	-1.18			2.73	-0.95			63.4	UF
1090D	3	4	139	141	25.86	795.37	3.98	-0.54			2.64	-0.82			64.9	UF
1090D	3	4	144	146	25.91	796.06	3.90	-0.78			2.63	-0.64			61.1	UF
1090D	3	5	0	2	25.97	796.89	3.97	-0.76			2.38	-0.41			57.9	UF
1090D	3	5	4	6	26.01	797.45	3.94	-0.81			2.38	-0.75			60.6	UF
1090D	3	5	9	11	26.06	798.14	3.91	-1.20							55.4	UF
1090D	3	5	14	16	26.11	798.83	3.78	-0.77			2.60	-0.47			55.1	UF
1090D	3	5	19	21	26.16	799.52	3.88	-1.14			2.72	-0.58			51.4	UF
1090D	3	5	24	26	26.21	800.22	3.86	-0.66			2.39	-0.57			51.5	UF
1090D	3	5	29	31	26.26	800.91	3.77	-1.07							54.9	UF
1090D	3	5	34	36	26.31	801.60	3.78	-0.83							56.7	UF
1090D	3	5	39	41	26.36	802.30	3.83	-0.67							56.2	UF
1090D	3	5	44	46	26.41	802.99	3.75	-1.08			2.55	-0.47			57.5	UF
1090D	3	5	49	51	26.46	803.68	3.83	-1.08			1.96	-0.12			59.2	UF
1090D	3	5	54	56	26.51	804.37	3.65	-1.10							58.9	UF
1090D	3	5	59	61	26.56	805.07	3.66	-0.88			2.36	-0.44			63.1	UF
1090D	3	5	64	66	26.61	805.76	3.57	-0.62			2.24	-0.42			64.7	UF
1090D	3	5	69	71	26.66	806.45	3.65	-0.42			1.91	-0.43			69.3	UF
1090D	3	5	74	76	26.71	807.14	3.58	-0.80							72.5	UF
1090D	3	5	79	81	26.76	807.84	3.52	-0.77			2.21	-0.44			66.9	UF
1090D	3	5	84	86	26.81	808.53	3.53	-0.63			2.29	-0.14			66.9	UF
1090D	3	5	89	91	26.86	809.22	3.64	-0.46			2.26	-0.23			74.5	UF
1090D	3	5	94	96	26.91	809.91	3.77	-0.31			2.23	-0.26			76.3	UF
1090D	3	5	99	101	26.96	810.61					2.29	0.05			80.1	UF
1090D	3	5	104	106	27.01	811.30	3.34	0.09			2.20	-0.22			83.1	UF
1090D	3	5	109	111	27.06	813.85	3.14	-0.05			2.01	-0.41			83.0	UF
																
1090E	3	2	69	71	27.10	815.89	3.18	0.10			2.19	-0.34			82.1	UF
1090E	3	2	74	76	27.15	818.45					2.10	-0.19			84.0	UF
1090E	3	2	79	81	27.20	821.00					1.94	-0.41			81.6	UF
1090E	3	2	84	86	27.25	823.55	3.10	-0.02			1.88	-0.39			76.2	UF
1090E	3	2	89	91	27.30	826.10	3.51	-0.45			2.09	-0.23			69.2	UF
1090E	3	2	94	96	27.35	828.66	3.38	-0.61			2.14	-0.47			76.6	UF
1090E	3	2	99	101	27.40	831.21	3.34	-0.11			2.01	-0.54			82.4	UF
1090E	3	2	104	106	27.45	833.76	3.23	-0.26			1.96	-0.62			69.7	UF
1090E	3	2	109	111	27.50	836.31					1.97	-0.52			73.0	UF
1090E	3	2	114	116	27.55	838.87	2.95	0.04			1.97	-0.58			78.7	UF
1090E	3	2	119	121	27.60	841.42	3.05	0.17			2.00	-0.34			75.9	UF
1090E	3	2	124	126	27.65	843.97	3.09	0.06			1.77	-0.29			78.3	UF
1090E	3	2	129	131	27.70	846.52					1.73	-0.36			81.6	UF
1090E	3	2	134	136	27.75	849.08	3.18	-0.09			1.87	-0.33			80.0	UF
1090E	3	2	139	141	27.80	851.63					1.94	-0.28			78.6	UF
1090E	3	2	144	146	27.85	854.18					2.15	-0.23			76.6	UF
1090E	3	2	148	150	27.89	856.22					1.93	-0.06			80.6	UF
1090E	3	3	4	6	27.95	859.29					1.96	-0.06			78.4	UF
1090E	3	3	9	11	28.00	861.84	3.00	-0.43			1.67	-0.04			78.4	UF
1090E	3	3	14	16	28.05	864.39	3.72	-1.07			1.72	-0.07			79.4	UF
1090E	3	3	19	21	28.10	866.22	3.88	-1.19			1.74	-0.26			82.2	UF
1090E	3	3	24	26	28.15	868.06	3.94	-1.22			1.84	-0.20			80.8	UF
1090E	3	3	29	31	28.20	869.89	3.70	-0.86			1.78	-0.41			81.9	UF
1090E	3	3	34	36	28.25	871.73	3.95	-1.27			1.86	-0.83			80.5	UF
1090E	3	3	39	41	28.30	873.56	3.75	-1.16			2.07	-0.87			77.8	UF
1090E	3	3	44	46	28.35	875.40	3.99	-1.55			2.29	-0.45			74.4	UF
1090E	3	3	49	51	28.40	877.23	4.16	-1.12			2.45	-0.09			64.9	UF
1090E	3	3	54	56	28.45	879.07					3.18	-0.41			56.3	UF
1090E	3	3	59	61	28.50	880.90									51.6	UF
1090E	3	3	64	66	28.55	882.74	4.02	-0.72			3.17	0.09			54.4	UF
1090E	3	3	69	71	28.60	884.57	4.15	-0.84							57.1	UF
1090E	3	3	74	76	28.65	886.41	4.02	-0.60			3.29	-0.19			63.9	UF
1090E	3	3	79	81	28.70	888.24	3.94	-0.59			3.28	-0.12			62.2	UF
1090E	3	3	84	86	28.75	890.08	3.88	-1.10			3.24	0.05			57.0	UF
1090E	3	3	89	91	28.80	891.91	3.96	-1.36			3.07	-0.13			52.3	UF
1090E	3	3	94	96	28.85	893.75	3.98	-1.22			3.09	-0.09			60.0	UF
1090E	3	3	99	101	28.90	895.58	3.99	-1.35							55.6	UF
1090E	3	3	104	106	28.95	897.42									52.6	UF
1090E	3	3	109	111	29.00	899.25	4.01	-0.88			2.96	0.13			51.8	UF
1090E	3	3	114	116	29.05	901.09	3.77	-0.32			3.06	0.50			56.1	UF
1090E	3	3	119	121	29.10	902.92	3.45	-0.44			2.58	0.10			68.8	UF
1090E	3	3	124	126	29.15	904.76					2.55	-0.15			70.4	UF
1090E	3	3	129	131	29.20	906.59	3.64	-1.17			2.65	0.00			72.5	UF
1090E	3	3	134	136	29.25	908.43	3.49	-1.51			2.32	-0.73			56.9	UF
1090E	3	3	139	141	29.30	910.26					3.10	-0.22			51.9	UF
1090E	3	3	144	146	29.35	912.10	3.95	-0.65			2.81	-0.15			27.6	UF
1090E	3	3	148	150	29.39	913.57					2.41	-0.79			29.0	UF
1090E	3	4	4	6	29.45	915.77					2.34	-0.23			30.5	UF
1090E	3	4	9	11	29.50	917.60	4.02	-0.47			2.25	0.05			20.6	UF
1090E	3	4	14	16	29.55	919.44					2.31	0.33			29.5	UF
1090E	3	4	19	21	29.60	921.27					1.97	-0.06			27.4	UF
1090E	3	4	24	26	29.65	923.11	4.04	-1.41			1.85	-0.13			34.6	UF
1090E	3	4	29	31	29.70	924.94					2.65	0.53			50.8	UF
1090E	3	4	34	36	29.75	926.78	3.55	-1.02			2.41	0.55			54.0	UF
1090E	3	4	39	41	29.80	928.61	3.36	-1.04			2.96	0.67			62.5	UF
1090E	3	4	44	46	29.85	930.45	3.44	-0.75			2.67	0.52			62.3	UF
1090E	3	4	49	51	29.90	932.28	3.36	-0.76			2.50	0.36			62.7	UF
1090E	3	4	54	56	29.95	934.12	3.28	-1.22			2.41	0.65			70.1	UF
1090E	3	4	59	61	30.00	935.95	3.08	-0.84			2.28	0.82			69.0	UF
1090E	3	4	64	66	30.05	937.79	3.11	-0.69			2.20	0.66			78.0	UF
																
1090D	4	1	69	71	30.08	938.89	3.26	-0.91			2.00	0.79			76.9	UF
1090D	4	1	74	76	30.13	940.73	3.02	-0.95			1.92	0.53			81.2	UF
1090D	4	1	79	81	30.18	942.56					1.77	0.57			82.2	UF
1090D	4	1	84	86	30.23	944.40					2.20	0.08			89.9	UF
1090D	4	1	89	91	30.28	946.23	3.26	-0.51			2.12	0.18			90.3	UF
1090D	4	1	94	96	30.33	948.07					2.09	-0.12			91.6	UF
1090D	4	1	99	101	30.38	949.90					1.94	-0.32			91.5	UF
1090D	4	1	104	106	30.43	951.74	3.38	-0.50			1.81	0.08			90.0	UF
1090D	4	1	109	111	30.48	953.57	3.61	-0.83			1.98	0.29			84.4	UF
1090D	4	1	114	116	30.53	955.41	3.42	-0.66			1.75	0.40			82.6	UF
1090D	4	1	119	121	30.58	957.24					1.86	0.17			82.6	UF
1090D	4	1	124	126	30.63	959.08	3.21	-0.40			1.53	-0.44			82.3	UF
1090D	4	1	129	131	30.68	960.91	3.68	-1.43			1.91	-0.10			83.5	UF
1090D	4	1	135	137	30.74	963.11	3.97	-0.86			2.18	-0.21			81.2	UF
1090D	4	1	139	141	30.78	964.58	3.67	-0.42			2.24	-0.21				UF
1090D	4	1	144	146	30.83	966.42					2.12	0.48			61.3	UF
1090D	4	2	0	2	30.89	968.62	3.67	-0.21			2.16	0.10			68.3	UF
1090D	4	2	4	6	30.93	970.09	3.67	0.02							70.7	UF
1090D	4	2	9	11	30.98	971.92	3.28	-0.86			2.25	0.29			75.0	UF
1090D	4	2	14	16	31.03	973.76	3.23	-0.67			2.08	0.30			80.0	UF
1090D	4	2	19	21	31.08	975.59	3.60	-0.86			2.35	0.43			77.7	UF
1090D	4	2	24	26	31.13	977.43	3.34	-0.61			2.13	0.00			86.3	UF
1090D	4	2	29	31	31.18	979.26	3.34	-0.42			2.02	-0.03			84.3	UF
1090D	4	2	34	36	31.23	981.10	3.30	-0.91			2.28	0.02			85.1	UF
1090D	4	2	39	41	31.28	982.93	3.11	-1.26			1.99	-0.13			85.8	UF
1090D	4	2	44	46	31.33	984.77	3.33	-1.01			2.32	0.24			83.6	UF
1090D	4	2	49	51	31.38	986.60	3.33	-1.08			2.56	0.74			81.1	UF
1090D	4	2	54	56	31.43	988.28	3.18	-0.98			2.50	0.28			75.4	UF
1090D	4	2	59	61	31.48	989.96					2.39	0.22			76.0	UF
1090D	4	2	64	66	31.53	991.64					2.41	0.75			77.8	UF
1090D	4	2	69	71	31.58	993.32	3.53	-0.99			2.52	0.64			82.0	UF
1090D	4	2	74	76	31.63	995.01					2.32	0.31			83.7	UF
1090D	4	2	79	81	31.68	996.69					2.19	0.46			82.1	UF
1090D	4	2	84	86	31.73	998.37	3.32	-0.46			2.09	-0.12			88.0	UF
1090D	4	2	89	91	31.78	1000.00	3.24	-0.77			2.30	0.23			85.2	UF
1090D	4	2	94	96	31.83	1001.70	3.34	-0.54			2.41	0.11			85.3	UF
1090D	4	2	99	101	31.88	1003.40	3.80	-0.71			2.24	0.14			84.4	UF
1090D	4	2	104	106	31.93	1005.10	3.44	-0.27			2.27	-0.22			81.7	UF
1090D	4	2	109	111	31.98	1006.80	3.23	-1.05			2.56	0.02			77.3	UF
1090D	4	2	114	116	32.03	1008.50					2.09	0.19			71.0	UF
1090D	4	2	119	121	32.08	1010.10					2.65	0.50			76.1	UF
1090D	4	2	124	126	32.13	1011.80	3.13	0.03			2.31	0.58			74.0	UF
1090D	4	2	129	131	32.18	1013.50	3.49	0.15			2.60	0.28			78.6	UF
1090D	4	2	134	136	32.23	1015.20	3.31	-0.89			2.47	0.84			81.4	UF
1090D	4	2	139	141	32.28	1016.90	3.43	-0.77			2.25	0.52			79.5	UF
1090D	4	2	144	146	32.33	1018.50	3.14	-0.81			2.29	0.58			85.0	UF
1090D	4	3	0	2	32.39	1020.60	3.31	-0.62			2.03	0.65			78.9	UF
1090D	4	3	4	6	32.43	1021.90					2.25	0.62			83.0	UF
1090D	4	3	9	11	32.48	1023.60					2.18	0.30			84.3	UF
1090D	4	3	14	16	32.53	1025.30	3.20	-0.51			1.82	-0.02			83.9	UF
1090D	4	3	19	21	32.58	1026.90	3.08	-0.66			1.97	0.25			86.6	UF
1090D	4	3	24	26	32.63	1028.60	3.24	-0.60			2.39	0.08			84.1	UF
1090D	4	3	29	31	32.68	1030.30	3.10	-0.55			2.45	0.32			86.1	UF
1090D	4	3	34	36	32.73	1032.00	3.33	-0.35			2.27	0.27			85.2	UF
1090D	4	3	39	41	32.78	1033.70	3.18	-0.53			2.20	-0.19			87.0	UF
1090D	4	3	44	46	32.83	1035.40	3.79	-1.14			2.40	0.20			79.0	UF
1090D	4	3	49	51	32.88	1037.00	3.81	-0.91			2.36	0.16			79.8	UF
1090D	4	3	54	56	32.93	1038.70					2.28	-0.07			71.9	UF
1090D	4	3	59	61	32.98	1040.40	3.67	-1.13			2.68	0.13			63.3	UF
1090D	4	3	64	66	33.03	1042.10	3.78	-1.16			2.62	0.19			64.2	UF
1090D	4	3	69	71	33.08	1043.80	3.81	-1.18			2.81	0.14			65.4	UF
1090D	4	3	74	76	33.13	1045.40	3.68	-0.94			2.49	0.12			66.3	UF
1090D	4	3	79	81	33.18	1047.10	3.74	-1.41			2.38	-0.13			62.7	UF
1090D	4	3	84	86	33.23	1048.80	3.79	-1.19			2.23	0.10			64.1	UF
1090D	4	3	89	91	33.28	1049.60	3.66	-1.19			2.30	0.02			58.9	UF
1090D	4	3	94	96	33.33	1050.50	3.67	-1.09			2.55	0.02			55.7	UF
1090D	4	3	99	101	33.38	1051.30	3.41	-1.28			1.86	0.20			61.4	UF
